71	colored Volkswagen beetles	farbige Volkswagen Käfer	Volkswagen Coccinelles colorées
72	skeleton of dinosaur	Dinosaurierskelette	squelette de dinosaure
73	graffiti street art on walls	Wände mit Graffiti street art	murs avec graffitis
74	white ballet dress	weisses Balletkleid	robe de ballet blanche
75	flock of sheep	Schafherde	troupeau de moutons
76	playing cards	Spielkarten	cartes de jeu
77	cola bottles or cans	Colaflaschen oder -büchsen	bouteilles ou canettes de coca
78	kissing couple	küssendes Pärchen	couple s'embrassant
79	heart shaped	herzförmig	forme de coeur
80	wolf close up	Nahaufname von einem Wolf	gros plan d'un loup
81	golf player on green	Golfspieler auf dem Platz	joueur de golf sur le terrain
82	model train scenery	Modelleisenbahn mit Landschaft	scène avec modèle de train
83	red or black mini cooper	roter oder schwarzer mini cooper	mini cooper rouge ou noire
84	Sagrada Familia in Barcelona	Sagrada Familia in Barcelona	Sagrada Familia, Barcelone
85	Beijing bird nest	Vogelnest in Peking	nid d'oiseau à  Pékin
86	KISS live	KISS live	KISS en concert
87	boxing match	Boxkampf	match de boxe
88	portrait of Segolene Royal	Porträt von Segolene Royal	portrait de Ségolène Royal
89	Elvis Presley	Elvis Presley	Elvis Presley
90	gondola in Venice	Gondel in Venedig	gondole à  Venise
91	freestyle jumps with bmx or motor bike	Freestyle jumps mit bmx or motorrad	saut freestyle en bmx ou moto
92	air race	air race	course aérienne
93	cable car	Seilbahn	téléphérique
94	roller coaster wide shot	Weitwinkelaufnahme von Achterbahnen	plan large d'une montagne russe
95	photo of real butterflies	Photos von echten Schmetterlingen	photo de vrais papillons
96	shake hands	Hände schütteln	poignée de main
97	round cakes	runde Kuchen	gâteaux ronds
98	illustrations of Alice's adventures in wonderland	Illustrationen aus Alice im Wunderland	illustration d'Alice au Pays des Merveilles
99	drawings of skeletons	Zeichnungen von Skeletten	dessins de squelettes
100	brown bear	Braunbär	ours brun
101	fountain with jet of water in daylight	Springbrunnen mit Wasserfontänen in Tageslicht	fontaine avec jet d'eau en journée
102	black cat	schwarze Katze	chat noir
103	dragon relief or sculpture	Drachenrelief oder -skulptur	relief ou sculpture de dragon
104	portrait of Che Guevara	Porträt von Che Guevara	portrait de Che Guevara
105	chinese characters	chinesische Schriftzeichen	caractères chinois
106	family tree	Familienstammbaum	arbre généalogique
107	sunflower close up	Nahaufnahme einer Sonneblume	gros plan de tournesol
108	carnival in Rio	Karneval ion Rio	carnaval de Rio
109	snowshoe hiking	schneeschuhwandern	randonnée en raquettes â neige
110	male color portrait	männliches Farbporträt	portrait masculin en couleur
111	two euro coins	zwei Euro Münzen	pièce de monnaie de deux euros
112	yellow flames	gelbe Flammen	flamme jaune
113	map of Europe	Landkarte von Europa	carte de l'Europe
114	diver underwater	Taucher unter Wasser	plongeur sous l'eau
115	flying bird	fliegender Vogel	oiseau en vol
116	houses in mountains	Häuser in den Bergen	maisons â la montagne
117	red roses	rote Rosen	roses rouges
118	flag of UK	Flagge der UK	drapeau du Royaume-Uni
119	satellite image of desert	Satellitenbild einer Wüste	image satellite d'un désert
120	bar codes	Barcodes	code barres
